date,abandoned,connected,disconnected,neverseen,cc
2017-08-20,6,2,3,0,EG
2017-08-19,6,3,2,0,EG
2017-08-18,6,3,2,0,EG
2017-08-17,6,3,2,0,EG
2017-08-16,6,3,2,0,EG
2017-08-15,6,4,1,0,EG
2017-08-14,6,4,1,0,EG
2017-08-13,6,4,1,0,EG
2017-08-12,6,4,1,0,EG
2017-08-11,6,4,1,0,EG
2017-08-10,6,4,1,0,EG
2017-08-09,6,3,2,0,EG
2017-08-08,6,4,1,0,EG
2017-08-07,6,4,1,0,EG
2017-08-06,6,4,1,0,EG
2017-08-05,6,3,2,0,EG
2017-08-04,6,3,2,0,EG
2017-08-03,6,3,2,0,EG
2017-08-02,6,3,2,0,EG
2017-08-01,6,4,1,0,EG
2017-07-31,6,4,1,0,EG
2017-07-30,6,4,1,0,EG
2017-07-29,6,3,2,0,EG
2017-07-28,6,3,2,0,EG
2017-07-27,6,3,2,0,EG
2017-07-26,6,4,1,0,EG
2017-07-25,6,3,2,0,EG
2017-07-24,6,4,1,0,EG
2017-07-23,6,3,2,0,EG
2017-07-22,6,4,1,0,EG
2017-07-21,6,3,2,0,EG
2017-07-20,6,3,2,0,EG
2017-07-19,6,4,1,0,EG
2017-07-18,6,3,2,0,EG
2017-07-17,6,3,1,0,EG
2017-07-16,6,1,2,0,EG
2017-07-15,6,1,2,0,EG
2017-07-14,6,1,2,0,EG
2017-07-13,6,1,2,0,EG
2017-07-12,6,2,1,0,EG
2017-07-11,6,2,1,0,EG
2017-07-10,6,2,1,0,EG
2017-07-09,6,2,1,0,EG
2017-07-08,6,2,1,0,EG
2017-07-07,6,2,1,0,EG
2017-07-06,6,2,1,0,EG
2017-07-05,6,2,1,0,EG
2017-07-04,6,2,1,0,EG
2017-07-03,6,2,1,0,EG
2017-07-02,6,2,1,0,EG
2017-07-01,6,2,1,0,EG
2017-06-30,6,2,1,0,EG
2017-06-29,6,2,1,0,EG
2017-06-28,6,2,1,0,EG
2017-06-27,6,2,1,0,EG
2017-06-26,6,2,1,0,EG
2017-06-25,6,2,1,0,EG
2017-06-24,6,2,1,0,EG
2017-06-23,6,2,1,0,EG
2017-06-22,6,2,1,0,EG
2017-06-21,6,2,1,0,EG
2017-06-20,6,2,1,0,EG
2017-06-19,6,2,1,0,EG
2017-06-18,6,2,1,0,EG
2017-06-17,6,2,1,0,EG
2017-06-16,6,2,1,0,EG
2017-06-15,6,2,1,0,EG
2017-06-14,6,2,1,0,EG
2017-06-13,6,2,1,0,EG
2017-06-12,6,2,1,0,EG
2017-06-11,6,2,1,0,EG
2017-06-10,6,2,1,0,EG
2017-06-09,6,2,1,0,EG
2017-06-08,6,2,1,0,EG
2017-06-07,6,1,2,0,EG
2017-06-06,6,1,1,0,EG
2017-06-05,6,1,1,0,EG
2017-06-04,5,0,3,0,EG
2017-06-03,5,1,2,0,EG
2017-06-02,5,0,3,0,EG
2017-06-01,5,0,3,0,EG
2017-05-31,5,1,2,0,EG
2017-05-30,5,0,3,0,EG
2017-05-29,4,0,4,0,EG
2017-05-28,4,0,4,0,EG
